id;AfterPenaltyAway;AfterPenaltyHome;Away;Day;DivisionAway;DivisionHome;DivisionPlaceAway;DivisionPlaceDifference;DivisionPlaceHome;FavouriteStatusAway;FavouriteStatusHome;FocusedEvent;GameID;GameNumber;GoalsAway;GoalsHome;Home;Played;PrestigeCupAway;PrestigeCupHome;PrestigePointsBasic;PrestigePointsDivisionBasic;PrestigePointsFocusedEvent;PrestigePointsRivalryAway;PrestigePointsRivalryHome;PrestigePointsTotalAway;PrestigePointsTotalHome;TournamnetRound;RoutinePoints;SignAway;SignHome;TeamMotivationAway;TeamMotivationFavouriteStatusAway;TeamMotivationFavouriteStatusHome;TeamMotivationHome;TeamMotivationPreviousRoundAway;TeamMotivationPreviousRoundHome;TeamMotivationSituationAway;TeamMotivationSituationHome;TeamRankAway;TeamRankDifference;TeamRankDivisionAway;TeamRankDivisionDifference;TeamRankDivisionHome;TeamRankHome;TeamRivalryAway;TeamRivalryHome;TeamRivalryTotal;TeamTacticsAway;TeamTacticsGameValueAway;TeamTacticsGameValueHome;TeamTacticsHome;TeamTacticsValueAway;TeamTacticsValueHome;Tournament;TypeOfGame;Week;Winner;QualificationHome;QualificationAway;SchedulingIdentifyerHome;SchedulingIdentifyerAway
11;;;S;1;;;10;-9;1;Normal;Normal;;11;1;;;TW;0;;;0.0;-0.01;;0.0434782608695652;0.0434782608695652;0.0334782608695652;0.0334782608695652;1;0;;;1.3325;1.03;0.98;1.156875;1.08;0.9275;0.29;0.19;42;-7;8;-3;5;35;0.5;0.5;1.0;Balanced;0.386363636363636;0.397727272727273;Balanced;0.386363636363636;0.397727272727273;4;Group;1;;;;ScheduleDraw;ScheduleDraw
12;;;SV;1;;;9;-7;2;Underdog;Favorite;;12;2;;;TL;0;;;0.0;-0.01;;0.0;0.0;-0.01;-0.01;1;0;;;1.340625;1.06;1.02;1.3225;1.0225;1.07;0.29;0.29;57;-26;10;-6;4;31;0.0;0.0;0.0;Balanced;0.5;0.484536082474227;Balanced;0.5;0.484536082474227;4;Group;1;;;;ScheduleDraw;ScheduleDraw
13;;;SOL;1;;;4;3;7;Underdog;Favorite;;13;3;;;SS;0;;;0.0;-0.01;;0.0434782608695652;0.0434782608695652;0.0334782608695652;0.0334782608695652;1;0;;;1.350625;1.1;0.91;1.261875;0.9425;1.1575;0.29;0.29;40;-10;7;-4;3;30;0.5;0.5;1.0;Drop back;0.222222222222222;0.0677966101694915;Drop back;0.222222222222222;0.0677966101694915;4;Group;1;;;;ScheduleDraw;ScheduleDraw
14;;;LOD;1;;;6;-1;5;Favorite;Underdog;;14;4;;;CHA;0;;;0.0;-0.01;;0.0434782608695652;0.0434782608695652;0.0334782608695652;0.0334782608695652;1;0;;;1.264375;0.91;1.1;1.326875;1.1675;0.8475;0.29;0.29;25;14;1;5;6;39;0.5;0.5;1.0;Balanced;0.484375;0.409090909090909;Balanced;0.484375;0.409090909090909;4;Group;1;;;;ScheduleDraw;ScheduleDraw
15;;;CJ;1;;;8;-5;3;Underdog;Favorite;;15;5;;;VP;0;;;0.0;-0.01;;0.0;0.0;-0.01;-0.01;1;0;;;1.271875;0.99;0.98;1.27;0.9575;0.98;0.29;0.29;48;-19;9;-7;2;29;0.0;0.0;0.0;Balanced;0.5;0.127659574468085;Drop back;0.5;0.127659574468085;4;Group;1;;;;ScheduleDraw;ScheduleDraw
16;;;TH;1;;;1;9;10;Favorite;Underdog;;16;1;;;TBT;0;;;0.0;0.01;;0.0;0.0;0.01;0.01;1;0;;;1.1625;0.98;1.08;1.364375;0.95;1.0575;0.19;0.29;11;27;1;8;9;38;0.0;0.0;0.0;Drop back;0.2;0.439024390243902;Balanced;0.2;0.439024390243902;3;Group;1;;;;ScheduleDraw;ScheduleDraw
17;;;BK;1;;;7;-3;4;Normal;Normal;;17;2;;;ISF;0;;;0.0;0.01;;0.0869565217391304;0.0869565217391304;0.0969565217391304;0.0969565217391304;1;0;;;1.274375;0.97;0.95;1.24375;1.0275;0.965;0.29;0.29;22;11;5;3;8;33;1.0;1.0;2.0;Balanced;0.656;0.51685393258427;Balanced;0.656;0.51685393258427;3;Group;1;;;;ScheduleDraw;ScheduleDraw
18;;;SST;1;;;6;-1;5;Favorite;Underdog;;18;3;;;MS;0;;;0.0;0.01;;0.0434782608695652;0.0434782608695652;0.0534782608695652;0.0534782608695652;1;0;;;1.325625;1.03;1.07;1.339375;1.0525;0.9875;0.29;0.29;18;8;2;4;6;26;0.5;0.5;1.0;Balanced;0.666666666666667;0.533333333333333;Balanced;0.666666666666667;0.533333333333333;3;Group;1;;;;ScheduleDraw;ScheduleDraw
19;;;TA;1;;;3;5;8;Normal;Normal;;19;4;;;KS;0;;;0.0;0.01;;0.0434782608695652;0.0434782608695652;0.0534782608695652;0.0534782608695652;1;0;;;1.27625;0.98;1.04;1.3325;1.005;1.05;0.29;0.29;21;-1;4;-1;3;20;0.5;0.5;1.0;Drop back;0.269230769230769;0.346153846153846;Balanced;0.269230769230769;0.346153846153846;3;Group;1;;;;ScheduleDraw;ScheduleDraw
20;;;DO;1;;;2;7;9;Normal;Normal;;20;5;;;EAG;0;;;0.0;0.01;;0.0;0.0;0.01;0.01;1;0;;;1.291875;1.02;1.02;1.3175;0.9475;1.05;0.29;0.29;28;15;7;3;10;43;0.0;0.0;0.0;Drop back;0.178571428571429;0.529411764705882;Balanced;0.178571428571429;0.529411764705882;3;Group;1;;;;ScheduleDraw;ScheduleDraw
21;;;PA;1;;;8;-5;3;Underdog;Favorite;;21;1;;;ÖD;0;;;0.0;0.03;;0.0;0.0;0.03;0.03;1;0;;;1.359375;1.09;0.94;1.2375;1.0075;0.97;0.29;0.29;17;-14;8;-7;1;3;0.0;0.0;0.0;Balanced;0.583333333333333;0.551282051282051;Balanced;0.583333333333333;0.551282051282051;2;Group;1;;;;ScheduleDraw;ScheduleDraw
22;;;LION;1;;;4;3;7;Normal;Normal;;22;2;;;HÖ;0;;;0.0;0.03;;0.0;0.0;0.03;0.03;1;0;;;1.315;1.05;0.97;1.2925;0.95;1.1;0.29;0.29;24;8;9;1;10;32;0.0;0.0;0.0;Balanced;0.5;0.436781609195402;Balanced;0.5;0.436781609195402;2;Group;1;;;;ScheduleDraw;ScheduleDraw
23;;;TWL;1;;;10;-9;1;Underdog;Favorite;;23;3;;;TG;0;;;0.0;0.03;;0.0869565217391304;0.0869565217391304;0.11695652173913;0.11695652173913;1;0;;;1.345;1.05;1.02;1.2;1.07;0.98;0.29;0.19;14;-9;6;-4;2;5;1.0;1.0;2.0;Drop back;0.235294117647059;0.321428571428571;Balanced;0.235294117647059;0.321428571428571;2;Group;1;;;;ScheduleDraw;ScheduleDraw
24;;;SSL;1;;;2;7;9;Underdog;Favorite;;24;4;;;SFÅ;0;;;0.0;0.03;;0.0434782608695652;0.0434782608695652;0.0734782608695652;0.0734782608695652;1;0;;;1.29625;1.07;0.91;1.275;0.815;1.21;0.29;0.29;16;-8;7;-4;3;8;0.5;0.5;1.0;Push up;0.764705882352941;0.196428571428571;Drop back;0.764705882352941;0.196428571428571;2;Group;1;;;;ScheduleDraw;ScheduleDraw
25;;;LEO;1;;;5;1;6;Normal;Normal;;25;5;;;VIK;0;;;0.0;0.03;;0.0;0.0;0.03;0.03;1;0;;;1.24625;0.95;1.03;1.309375;0.975;0.9875;0.29;0.29;12;-2;5;-1;4;10;0.0;0.0;0.0;Balanced;0.678571428571429;0.25;Drop back;0.678571428571429;0.25;2;Group;1;;;;ScheduleDraw;ScheduleDraw
26;;;FF;1;;;9;-7;2;Underdog;Favorite;;26;1;;;KÄ;0;;;0.0;0.05;;0.739130434782609;0.304347826086957;0.789130434782609;0.354347826086957;1;0;;;1.309375;1.03;0.98;1.2775;0.9875;1.01;0.29;0.29;23;-22;10;-9;1;1;8.5;3.5;12.0;Drop back;0.225806451612903;0.410958904109589;Balanced;0.225806451612903;0.410958904109589;1;Group;1;;;;ScheduleDraw;ScheduleDraw
27;;;SF;1;;;3;5;8;Normal;Normal;;27;2;;;DBL;0;;;0.0;0.05;;0.478260869565217;0.478260869565217;0.528260869565217;0.528260869565217;1;0;;;1.296875;1.01;0.95;1.276875;0.9975;1.0975;0.29;0.29;7;-5;5;-3;2;2;5.5;5.5;11.0;Balanced;0.5;0.1;Drop back;0.5;0.1;1;Group;1;;;;ScheduleDraw;ScheduleDraw
28;;;SL;1;;;6;-1;5;Normal;Normal;;28;3;;;ZB;0;;;0.0;0.05;;0.0434782608695652;0.0434782608695652;0.0934782608695652;0.0934782608695652;1;0;;;1.25375;0.96;0.96;1.254375;0.975;0.9775;0.29;0.29;6;7;4;3;7;13;0.5;0.5;1.0;Balanced;0.531645569620253;0.595238095238095;Balanced;0.531645569620253;0.595238095238095;1;Group;1;;;;ScheduleDraw;ScheduleDraw
29;;;PF;1;;;1;9;10;Normal;Normal;;29;4;;;PBV;0;;;0.0;0.05;;0.0;0.0;0.05;0.05;1;0;;;1.1525;0.97;0.98;1.28125;0.94;1.025;0.19;0.29;9;10;6;3;9;19;0.0;0.0;0.0;Balanced;0.571428571428571;0.413793103448276;Balanced;0.571428571428571;0.413793103448276;1;Group;1;;;;ScheduleDraw;ScheduleDraw
30;;;SFA;1;;;4;3;7;Favorite;Underdog;;30;5;;;SSM;0;;;0.0;0.05;;0.521739130434783;0.521739130434783;0.571739130434783;0.571739130434783;1;0;;;1.218125;0.91;0.99;1.2775;0.9825;0.98;0.29;0.29;4;11;3;5;8;15;6.0;6.0;12.0;Balanced;0.591836734693878;0.369565217391304;Balanced;0.591836734693878;0.369565217391304;1;Group;1;;;;ScheduleDraw;ScheduleDraw
31;;;GE;8;;;5;3;8;Favorite;Underdog;;31;1;;;MÖS;0;;;0.0;-0.05;;0.0;0.0;-0.05;-0.05;2;0;;;1.170625;0.97;1.03;1.198125;1.0125;0.9425;0.19;0.19;50;10;5;5;10;60;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;6;Group;2;;;;ScheduleDraw;ScheduleDraw
32;;;ARK;8;;;1;5;6;Favorite;Underdog;;32;2;;;GC;0;;;0.0;-0.05;;0.0;0.0;-0.05;-0.05;2;0;;;1.035625;0.94;1.0;1.196875;0.9625;1.0275;0.09;0.19;36;19;2;5;7;55;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;6;Group;2;;;;ScheduleDraw;ScheduleDraw
33;;;SOS;8;;;4;5;9;Favorite;Underdog;;33;3;;;BM;0;;;0.0;-0.05;;0.0;0.0;-0.05;-0.05;2;0;;;1.121875;0.9;1.09;1.2575;1.0275;1.0;0.19;0.19;47;11;4;4;8;58;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;6;Group;2;;;;ScheduleDraw;ScheduleDraw
34;;;BI;8;;;3;-1;2;Favorite;Underdog;;34;4;;;CN;0;;;0.0;-0.05;;0.0;0.0;-0.05;-0.05;2;0;;;1.2225;1.03;0.98;1.16875;1.04;0.975;0.19;0.19;34;18;1;5;6;52;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;6;Group;2;;;;ScheduleDraw;ScheduleDraw
35;;;KU;8;;;7;3;10;Favorite;Underdog;;35;5;;;ÖR;0;;;0.0;-0.05;;0.0;0.0;-0.05;-0.05;2;0;;;1.21625;1.03;1.0;1.20375;1.015;1.055;0.19;0.19;46;13;3;6;9;59;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;6;Group;2;;;;ScheduleDraw;ScheduleDraw
36;;;HH;8;;;6;2;8;Normal;Normal;;36;1;;;TD;0;;;0.0;-0.03;;0.0;0.0;-0.03;-0.03;2;0;;;1.3;1.02;0.96;1.30625;0.98;1.185;0.29;0.29;41;-14;3;-2;1;27;0.0;0.0;0.0;Balanced;0.5;0.0166666666666667;Drop back;0.5;0.0166666666666667;5;Group;2;;;;ScheduleDraw;ScheduleDraw
37;;;COB;8;;;4;6;10;Favorite;Underdog;;37;2;;;KN;0;;;0.0;-0.03;;0.0;0.0;-0.03;-0.03;2;0;;;1.23875;0.94;0.97;1.28875;0.975;1.085;0.29;0.29;45;8;5;3;8;53;0.0;0.0;0.0;Balanced;0.5;0.491071428571428;Balanced;0.5;0.491071428571428;5;Group;2;;;;ScheduleDraw;ScheduleDraw
38;;;SVF;8;;;1;8;9;Normal;Normal;;38;3;;;SFI;0;;;0.0;-0.03;;0.0;0.0;-0.03;-0.03;2;0;;;1.15375;0.99;1.03;1.3525;0.885;1.16;0.19;0.29;56;-12;10;-6;4;44;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;5;Group;2;;;;ScheduleDraw;ScheduleDraw
39;;;ELD;8;;;2;3;5;Underdog;Favorite;;39;4;;;HS;0;;;0.0;-0.03;;0.0;0.0;-0.03;-0.03;2;0;;;1.313125;1.06;0.95;1.25375;0.9125;1.005;0.29;0.29;54;-17;9;-7;2;37;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;5;Group;2;;;;ScheduleDraw;ScheduleDraw
40;;;AF;8;;;7;-4;3;Normal;Normal;;40;5;;;NS;0;;;0.0;-0.03;;0.0;0.0;-0.03;-0.03;2;0;;;1.3225;1.04;1.03;1.266875;1.01;0.8175;0.29;0.29;49;2;6;1;7;51;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;5;Group;2;;;;ScheduleDraw;ScheduleDraw
41;;;SV;8;;;9;-8;1;Big underdog;Big favorite;;41;1;;;TW;0;;;0.0;-0.01;;0.0;0.0;-0.01;-0.01;2;0;;;1.430625;1.18;0.84;1.051875;1.0225;0.9275;0.29;0.19;57;-22;10;-5;5;35;0.0;0.0;0.0;Balanced;0.5;0.397727272727273;Balanced;0.5;0.397727272727273;4;Group;2;;;;ScheduleDraw;ScheduleDraw
42;;;CJ;8;;;8;-6;2;Underdog;Favorite;;42;2;;;TL;0;;;0.0;-0.01;;0.0;0.0;-0.01;-0.01;2;0;;;1.256875;0.97;0.91;1.24;0.9575;1.07;0.29;0.29;48;-17;9;-5;4;31;0.0;0.0;0.0;Balanced;0.5;0.484536082474227;Balanced;0.5;0.484536082474227;4;Group;2;;;;ScheduleDraw;ScheduleDraw
43;;;LOD;8;;;6;1;7;Normal;Normal;;43;3;;;SS;0;;;0.0;-0.01;;0.0434782608695652;0.0434782608695652;0.0334782608695652;0.0334782608695652;2;0;;;1.301875;0.96;0.98;1.314375;1.1675;1.1575;0.29;0.29;25;5;1;2;3;30;0.5;0.5;1.0;Balanced;0.484375;0.0677966101694915;Drop back;0.484375;0.0677966101694915;4;Group;2;;;;ScheduleDraw;ScheduleDraw
44;;;S;8;;;10;-5;5;Underdog;Favorite;;44;4;;;CHA;0;;;0.0;-0.01;;0.0434782608695652;0.0434782608695652;0.0334782608695652;0.0334782608695652;2;0;;;1.3475;1.05;0.92;1.191875;1.08;0.8475;0.29;0.29;42;-3;8;-2;6;39;0.5;0.5;1.0;Balanced;0.386363636363636;0.409090909090909;Balanced;0.386363636363636;0.409090909090909;4;Group;2;;;;ScheduleDraw;ScheduleDraw
45;;;SOL;8;;;4;-1;3;Underdog;Favorite;;45;5;;;VP;0;;;0.0;-0.01;;0.0869565217391304;0.0869565217391304;0.0769565217391304;0.0769565217391304;2;0;;;1.305625;1.04;0.99;1.2775;0.9425;0.98;0.29;0.29;40;-11;7;-5;2;29;1.0;1.0;2.0;Drop back;0.222222222222222;0.127659574468085;Drop back;0.222222222222222;0.127659574468085;4;Group;2;;;;ScheduleDraw;ScheduleDraw
46;;;DO;8;;;2;8;10;Favorite;Underdog;;46;1;;;TBT;0;;;0.0;0.01;;0.0;0.0;0.01;0.01;2;0;;;1.231875;0.94;0.97;1.281875;0.9475;1.0575;0.29;0.29;28;10;7;2;9;38;0.0;0.0;0.0;Drop back;0.178571428571429;0.439024390243902;Balanced;0.178571428571429;0.439024390243902;3;Group;2;;;;ScheduleDraw;ScheduleDraw
47;;;TH;8;;;1;3;4;Favorite;Underdog;;47;2;;;ISF;0;;;0.0;0.01;;0.0;0.0;0.01;0.01;2;0;;;1.1175;0.92;1.03;1.30375;0.95;0.965;0.19;0.29;11;22;1;7;8;33;0.0;0.0;0.0;Drop back;0.2;0.51685393258427;Balanced;0.2;0.51685393258427;3;Group;2;;;;ScheduleDraw;ScheduleDraw
48;;;TA;8;;;3;2;5;Favorite;Underdog;;48;3;;;MS;0;;;0.0;0.01;;0.0434782608695652;0.0434782608695652;0.0534782608695652;0.0534782608695652;2;0;;;1.25375;0.95;0.97;1.264375;1.005;0.9875;0.29;0.29;21;5;4;2;6;26;0.5;0.5;1.0;Drop back;0.269230769230769;0.533333333333333;Balanced;0.269230769230769;0.533333333333333;3;Group;2;;;;ScheduleDraw;ScheduleDraw
49;;;EAG;8;;;9;-1;8;Underdog;Favorite;;49;4;;;KS;0;;;0.0;0.01;;0.0434782608695652;0.0434782608695652;0.0534782608695652;0.0534782608695652;2;0;;;1.3025;1.0;1.01;1.31;1.05;1.05;0.29;0.29;43;-23;10;-7;3;20;0.5;0.5;1.0;Balanced;0.529411764705882;0.346153846153846;Balanced;0.529411764705882;0.346153846153846;3;Group;2;;;;ScheduleDraw;ScheduleDraw
50;;;BK;8;;;7;-1;6;Underdog;Favorite;;50;5;;;SST;0;;;0.0;0.01;;0.0434782608695652;0.0434782608695652;0.0534782608695652;0.0534782608695652;2;0;;;1.289375;0.99;1.01;1.310625;1.0275;1.0525;0.29;0.29;22;-4;5;-3;2;18;0.5;0.5;1.0;Balanced;0.656;0.666666666666667;Balanced;0.656;0.666666666666667;3;Group;2;;;;ScheduleDraw;ScheduleDraw
51;;;LEO;8;;;5;-2;3;Underdog;Favorite;;51;1;;;ÖD;0;;;0.0;0.03;;0.0;0.0;0.03;0.03;2;0;;;1.33625;1.07;1.01;1.29;0.975;0.97;0.29;0.29;12;-9;5;-4;1;3;0.0;0.0;0.0;Balanced;0.678571428571429;0.551282051282051;Balanced;0.678571428571429;0.551282051282051;2;Group;2;;;;ScheduleDraw;ScheduleDraw
52;;;VIK;8;;;6;1;7;Favorite;Underdog;;52;2;;;HÖ;0;;;0.0;0.03;;0.0;0.0;0.03;0.03;2;0;;;1.264375;0.97;1.04;1.345;0.9875;1.1;0.29;0.29;10;22;4;6;10;32;0.0;0.0;0.0;Drop back;0.25;0.436781609195402;Balanced;0.25;0.436781609195402;2;Group;2;;;;ScheduleDraw;ScheduleDraw
53;;;SFÅ;8;;;9;-1;8;Favorite;Underdog;;53;3;;;PA;0;;;0.0;0.03;;0.0869565217391304;0.0869565217391304;0.11695652173913;0.11695652173913;2;0;;;1.2975;0.94;1.0;1.291875;1.21;1.0075;0.29;0.29;8;9;3;5;8;17;1.0;1.0;2.0;Drop back;0.196428571428571;0.583333333333333;Balanced;0.196428571428571;0.583333333333333;2;Group;2;;;;ScheduleDraw;ScheduleDraw
54;;;LION;8;;;4;-3;1;Underdog;Favorite;;54;4;;;TG;0;;;0.0;0.03;;0.173913043478261;0.173913043478261;0.203913043478261;0.203913043478261;2;0;;;1.27;0.99;1.02;1.2;0.95;0.98;0.29;0.19;24;-19;9;-7;2;5;2.0;2.0;4.0;Balanced;0.5;0.321428571428571;Balanced;0.5;0.321428571428571;2;Group;2;;;;ScheduleDraw;ScheduleDraw
55;;;SSL;8;;;2;8;10;Favorite;Underdog;;55;5;;;TWL;0;;;0.0;0.03;;0.0;0.0;0.03;0.03;2;0;;;1.26625;1.03;1.02;1.3225;0.815;1.07;0.29;0.29;16;-2;7;-1;6;14;0.0;0.0;0.0;Push up;0.764705882352941;0.235294117647059;Drop back;0.764705882352941;0.235294117647059;2;Group;2;;;;ScheduleDraw;ScheduleDraw
56;;;SL;8;;;6;-4;2;Underdog;Favorite;;56;1;;;KÄ;0;;;0.0;0.05;;0.130434782608696;0.130434782608696;0.180434782608696;0.180434782608696;2;0;;;1.35125;1.09;0.93;1.24;0.975;1.01;0.29;0.29;6;-5;4;-3;1;1;1.5;1.5;3.0;Balanced;0.531645569620253;0.410958904109589;Balanced;0.531645569620253;0.410958904109589;1;Group;2;;;;ScheduleDraw;ScheduleDraw
57;;;ZB;8;;;5;3;8;Normal;Normal;;57;2;;;DBL;0;;;0.0;0.05;;0.478260869565217;0.478260869565217;0.528260869565217;0.528260869565217;2;0;;;1.299375;1.02;1.05;1.351875;0.9775;1.0975;0.29;0.29;13;-11;7;-5;2;2;5.5;5.5;11.0;Balanced;0.595238095238095;0.1;Drop back;0.595238095238095;0.1;1;Group;2;;;;ScheduleDraw;ScheduleDraw
58;;;SFA;8;;;4;-1;3;Normal;Normal;;58;3;;;SF;0;;;0.0;0.05;;0.0;0.0;0.05;0.05;2;0;;;1.308125;1.03;1.03;1.311875;0.9825;0.9975;0.29;0.29;4;3;3;2;5;7;0.0;0.0;0.0;Balanced;0.591836734693878;0.5;Balanced;0.591836734693878;0.5;1;Group;2;;;;ScheduleDraw;ScheduleDraw
59;;;FF;8;;;9;1;10;Normal;Normal;;59;4;;;PBV;0;;;0.0;0.05;;0.521739130434783;0.521739130434783;0.571739130434783;0.571739130434783;2;0;;;1.279375;0.99;0.95;1.25875;0.9875;1.025;0.29;0.29;23;-4;10;-1;9;19;6.0;6.0;12.0;Drop back;0.225806451612903;0.413793103448276;Balanced;0.225806451612903;0.413793103448276;1;Group;2;;;;ScheduleDraw;ScheduleDraw
60;;;PF;8;;;1;6;7;Favorite;Underdog;;60;5;;;SSM;0;;;0.0;0.05;;0.0;0.0;0.05;0.05;2;0;;;1.1675;0.99;0.98;1.27;0.94;0.98;0.19;0.29;9;6;6;2;8;15;0.0;0.0;0.0;Balanced;0.571428571428571;0.369565217391304;Balanced;0.571428571428571;0.369565217391304;1;Group;2;;;;ScheduleDraw;ScheduleDraw
61;;;AF;11;Div 5;Div 6;7;0;7;Normal;Normal;;61;1;;;KU;0;-0.01;0.01;0.0;;;0.0;0.0;-0.01;0.01;Qualification;0;;;1.01;1.01;1.01;1.01125;1.01;1.015;0.0;0.0;49;-3;6;-3;3;46;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;Cup;Playoff;2;;I5;H3;Seeding;Seeding
62;;;TA;11;Div 3;Div 3;3;5;8;Normal;Normal;;62;2;;;KS;0;0.0;0.0;0.0;;;0.0434782608695652;0.0434782608695652;0.0434782608695652;0.0434782608695652;Qualification;0;;;1.00125;1.0;0.96;0.9825;1.005;1.05;0.0;0.0;21;-1;4;-1;3;20;0.5;0.5;1.0;Drop back;0.269230769230769;0.346153846153846;Balanced;0.269230769230769;0.346153846153846;Cup;Playoff;2;;D6;E1;Seeding;Seeding
