id;AbilityRank;AbilityRankDivision;AverageAbility;Division;DivisionID;Name;SeedingGroup;Tactics;TacticsValue;TotalAbility;Logo;SeedingNumber;NoOfPlayers;FullName
26;21;4;3.8769951117230614;Div 3;Div 3-6;TA;E;Defensiv;0.269230769230769;23.261970670338368;TA.png;1;6;The Angels
27;22;5;3.874373111062038;Div 3;Div 3-7;BK;E;Neutral;0.656;23.24623866637223;BK.png;2;6;Blomsterkungarna
28;43;10;0.030487605005012203;Div 3;Div 3-8;EAG;E;Neutral;0.529411764705882;0.18292563003007323;EAG.png;3;6;EAGLES
29;11;1;4.182426000667548;Div 3;Div 3-9;TH;E;Defensiv;0.2;25.09455600400529;TH.png;4;6;The Heroes
30;28;7;3.5608500027858834;Div 3;Div 3-10;DO;E;Defensiv;0.178571428571429;21.3651000167153;DO.png;5;6;Dolphines
31;35;5;0.03225685545207183;Div 4;Div 4-1;TW;E;Neutral;0.397727272727273;0.193541132712431;TW.png;6;6;The Wolfs
32;31;4;0.03423248158578582;Div 4;Div 4-2;TL;E;Neutral;0.484536082474227;0.2053948895147149;TL.png;7;6;Turlaget
33;30;3;0.03500551305916832;Div 4;Div 4-3;SS;F;Defensiv;0.0677966101694915;0.2100330783550099;SS.png;1;6;Snakes
34;39;6;0.031114574385485164;Div 4;Div 4-4;CHA;F;Neutral;0.409090909090909;0.18668744631291098;CHA.png;2;6;CHAMPIONS
35;29;2;0.03536806719999943;Div 4;Div 4-5;VP;F;Defensiv;0.127659574468085;0.2122084031999966;VP.png;3;6;Vita Pilar
36;25;1;3.822786780044528;Div 4;Div 4-6;LOD;F;Neutral;0.484375;22.936720680267168;LOD.png;4;6;Lodjuren
37;40;7;3.0805941606829284;Div 4;Div 4-7;SOL;F;Defensiv;0.222222222222222;21.5641591247805;SOL.png;5;7;Solstrålarna
38;42;8;3.0545677538972185;Div 4;Div 4-8;S;F;Neutral;0.386363636363636;18.32740652338331;S.png;6;6;Specialisterna
39;48;9;2.728863258238402;Div 4;Div 4-9;CJ;F;Neutral;0.5;19.102042807668813;CJ.png;7;7;Cementjättarna
40;57;10;2.3766335821841484;Div 4;Div 4-10;SV;G;Neutral;0.5;16.63643507528904;SV.png;1;7;Skogsvättarna
41;27;1;0.03646226191231603;Div 5;Div 5-1;TD;G;Defensiv;0.0166666666666667;0.21877357147389617;TD.png;2;6;The Dreamers
42;53;8;0.02647852052964687;Div 5;Div 5-2;KN;G;Neutral;0.491071428571428;0.1853496437075281;KN.png;3;7;Kokosnötterna
43;44;4;0.030114247768362117;Div 5;Div 5-3;SFI;G;Neutral;0.5;0.21079973437853483;SFI.png;4;7;Sagofigurerna
44;37;2;0.03166695373402427;Div 5;Div 5-4;HS;G;Neutral;0.5;0.2216686761381699;HS.png;5;7;Heta Stunder
45;56;10;2.5070811653721785;Div 5;Div 5-5;SVF;G;Neutral;0.5;17.54956815760525;SVF.png;6;7;Svarta Faran
46;54;9;2.6363574150275944;Div 5;Div 5-6;ELD;G;Neutral;0.5;18.454501905193162;ELD.png;7;7;Eldslukarna
47;45;5;0.029059272766669884;Div 5;Div 5-7;COB;H;Neutral;0.5;0.20341490936668918;COB.png;1;7;Cobras
48;51;7;2.6779105751780317;Div 5;Div 5-8;NS;H;Neutral;0.5;18.74537402624622;NS.png;2;7;Ninjaskolan
49;49;6;2.687397707183227;Div 5;Div 5-9;AF;H;Neutral;0.5;18.81178395028259;AF.png;3;7;Akademikerföreningen
50;41;3;3.0778062381200346;Div 5;Div 5-10;HH;H;Neutral;0.5;18.466837428720208;HH.png;4;6;Heliga Höbalarna
51;60;10;0.018503541106496355;Div 6;Div 6-1;MÖS;H;Neutral;0.5;0.1295247877454745;MÖS.png;5;7;Mörka Skuggor
52;55;7;0.026334876463082583;Div 6;Div 6-2;GC;H;Neutral;0.5;0.18434413524157808;GC.png;6;7;Game Changers
53;58;8;0.022820737131063303;Div 6;Div 6-3;BM;H;Neutral;0.5;0.15974515991744312;BM.png;7;7;Bokmalarna
54;52;6;2.6690607099347883;Div 6;Div 6-4;CN;I;Neutral;0.5;16.01436425960873;CN.png;1;6;Casanovas
55;34;1;3.2759138523786184;Div 6;Div 6-5;BI;I;Neutral;0.5;19.65548311427171;BI.png;2;6;Bearded Infants
56;47;4;0.027575206180197605;Div 6;Div 6-6;SOS;I;Neutral;0.5;0.19302644326138324;SOS.png;3;7;Softa Slackers
57;59;9;0.019004603814999573;Div 6;Div 6-7;ÖR;I;Neutral;0.5;0.133032226704997;ÖR.png;4;7;Ökenrävarna
58;46;3;2.781031201650604;Div 6;Div 6-8;KU;I;Neutral;0.5;19.467218411554228;KU.png;5;7;Kloka Ugglor
59;36;2;3.222755417660891;Div 6;Div 6-9;ARK;I;Neutral;0.5;22.559287923626236;ARK.png;6;7;Accidental Roadkillers
60;50;5;2.685407161595288;Div 6;Div 6-10;GE;I;Neutral;0.5;16.112442969571728;GE.png;7;6;Gemenskapen
